Stt|Mã môn học|Tên môn học|Giáo viên nhập|Tên sách|Tác giả|Năm xb|Nơi xb/ Nhà xb|Ghi chú tài liệu|Tình trạng|Nơi lưu trữ|Tên sách đề nghị kiểm tra hoặc thay thế
1|CBAN10304|Hóa học|Nguyễn Thanh Bình (2016), Bài giảng Hoá phân tích, Bộ môn Hóa học - Khoa Cơ bản, Trường Đại học Nông Lâm Huế.|Bài giảng Hoá phân tích|Nguyễn Thanh Bình |2016|ộ môn Hóa học - Khoa Cơ bản, Trường Đại học Nông Lâm Huế.|Bb|Đang bổ sung|Khoa/ BM|
2|CBAN10304|Hoá học|Đinh Thị Thu Thanh và Phan Thị Diệu Huyền (2015), Giáo trình Hoá học, Nhà xuất bản Đại Học Huế, TTTT-TV.|Giáo trình Hoá học|Đinh Thị Thu Thanh và Phan Thị Diệu Huyền|2015|Nhà xuất bản Đại Học Huế,|Bb|Đã có|TTTT-TV|
3|CBAN10304|Hóa học|Bộ môn Hóa - Khoa cơ bản, Bài giảng thực hành Hoá học - Hóa phân tích (2016), Trường Đại học Nông Lâm Huế|Bài giảng thực hành Hoá học - Hóa phân tích|Bộ môn Hóa - Khoa cơ bản.Trường Đại học Nông Lâm Huế|2016|Bộ môn Hóa - Khoa cơ bản.Trường Đại học Nông Lâm Huế|Tk|Đang bổ sung|Khoa/ BM|
4|CBAN10304|Hóa học|Dương Văn Đảm (2005), Bài tập hoá học đại cương, NXB Giáo dục, Hà Nội.|Bài tập hoá học đại cương|Dương Văn Đảm|2005|NXB Giáo dục, Hà Nội. |Tk|Đổi tài liệu|Không có|Bài tập hóa học đại cương / Lê Mậu Quyền. - Hà Nội : Giáo dục, 2008
5|CBAN10304|Hóa học|Trần Tứ Hiếu và Từ Vọng Nghi (2003). Bài tập Hóa phân tích. NXB đại học quốc gia Hà Nội, TTTT-TV.|Bài tập Hóa phân tích|Trần Tứ Hiếu và Từ Vọng Nghi|2003|NXB đại học quốc gia Hà Nội|Tk|Đổi tài liệu|Không có|
6|CBAN10304|Hóa học|Hồ Viết Quý (2005). Các phương pháp phân tích hóa học hiện đại (2 tập). NXB đại học sư phạm.|Các phương pháp phân tích hóa học hiện đại (2 tập)|Hồ Viết Quý|2005|NXB đại học sư phạm|Tk|Đổi tài liệu|Không có|
7|CBAN10304|Hóa học|Phan Tống Sơn, Trần Quốc Sơn, Đặng Như Tại (1976), Cơ sở hoá học hữu cơ tập 1, NXB Đại học và Trung học chuyên nghiệp.|Cơ sở hoá học hữu cơ tập 1|Phan Tống Sơn, Trần Quốc Sơn, Đặng Như Tại|1976|NXB Đại học và Trung học chuyên nghiệp. |Tk|Đổi tài liệu|Không có|
8|CBAN10304|Hóa học|Hoàng Minh Châu, Từ Văn Mạc,Từ Vọng Nghi(2002).Cơ sở Hoá học Phân tích, NXB Khoa học và kỹ thuật. Hà Nội, TTTT-TV.|Cơ sở Hoá học Phân tích|Hoàng Minh Châu, Từ Văn Mạc,Từ Vọng Nghi|2002|NXB Khoa học và kỹ thuật. Hà Nội|Tk|Đã có|TTTT-TV|TTTT-TV - 2007
9|CBAN10304|Hóa học|Vũ Đăng Độ (1993), Cơ sở lý thuyết các quá trình hoá học, NXB Giáo dục, Hà Nội.|Cơ sở lý thuyết các quá trình hoá học|Vũ Đăng Độ|1993|NXB Giáo dục, Hà Nội. |Tk|Đã có|Không có|
10|CBAN10304|Hóa học|Lê Nguyên Tảo (1972), Giáo trình hoá học chất keo, Đại học Tổng hợp Hà Nội.|Giáo trình hoá học chất keo|Lê Nguyên Tảo |1972| Đại học Tổng hợp Hà Nội. |Tk|Đổi tài liệu|Không có|
11|CBAN10304|Hóa học|Nguyễn Đức Chuy (1996), Giáo trình hoá học đại cương, NXB Đại học Quốc gia Hà Nội.|Giáo trình hoá học đại cương|Nguyễn Đức Chuy|1996|NXB Đại học Quốc gia Hà Nội. |Tk|Đổi tài liệu|Không có|
12|CBAN10304|Hóa học|Lê Văn Khoa và Nguyễn Xuân Cự (2000). Phương pháp phân tích đất, nước, phân bón, cây trồng. NXB Giáo Dục.|Phương pháp phân tích đất, nước, phân bón, cây trồng|Lê Văn Khoa và Nguyễn Xuân Cự|2000|NXB Giáo Dục.|Tk|Đã có|TTTT-TV|
13|CBAN10502|Hóa lý|Đinh Thị Thu Thanh, Bài giảng Hóa lý, Bộ môn Hóa học – Khoa Cơ bản – Trường Đại học Nông Lâm Huế, TTTT-TV|Bài giảng Hóa lý, Bộ môn Hóa học|Đinh Thị Thu Thanh|||BB|Đang bổ sung|Khoa/ BM|
14|CBAN10502|Hóa lý|Lê Mậu Quyền (2001), Bài tập hoá học vô cơ, NXB Khoa học kỹ thuật, Hà Nội|Bài tập hoá học vô cơ|Lê Mậu Quyền |2001|NXB Khoa học kỹ thuật, Hà Nội|TK|Đổi tài liệu|Không có|
15|CBAN10502|Hóa lý|Vũ Đăng Độ (1993), Cơ sở lý thuyết các quá trình hoá học, NXB Giáo dục, Hà Nội|Cơ sở lý thuyết các quá trình hoá học|Vũ Đăng Độ|1993|XB Giáo dục, Hà Nội|TK|Đã có|Không có|
